127.0.0.1 - - [27/Jun/2020:09:34:32 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:35:58 +0800] "POST /2018121015_5/register.do HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:36:01 +0800] "GET /2018121015_5/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:36:01 +0800] "GET /2018121015_5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:36:01 +0800] "GET /2018121015_5/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:36:01 +0800] "GET /2018121015_5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:36:04 +0800] "GET /2018121015_5/findUsers.do HTTP/1.1" 500 1173
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:37:13 +0800] "POST /2018121015_5/register.do HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:37:16 +0800] "GET /2018121015_5/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:37:16 +0800] "GET /2018121015_5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:37:16 +0800] "GET /2018121015_5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:37:16 +0800] "GET /2018121015_5/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:37:19 +0800] "GET /2018121015_5/findUsers.do HTTP/1.1" 500 1173
0:0:0:0:0:0:0:1 - - [27/Jun/2020:09:37:26 +0800] "GET /2018121015_5/findUsers.do HTTP/1.1" 500 1173
